15:27:32.776	time,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
15:27:32.776	,-0.177,0.044,0.930,-9.399,13.672,0.732,13.525,41.260,-11.841
15:27:32.778	,-0.193,0.047,1.057,-86.792,-24.292,50.598,13.525,41.260,-11.841
15:27:32.792	,-0.172,0.025,1.027,-132.263,-53.040,72.693,13.525,41.260,-11.841
15:27:32.799	,-0.207,0.048,1.011,-11.841,-5.005,8.057,13.525,41.260,-11.841
15:27:32.811	,-0.210,0.049,1.009,10.498,2.502,-4.272,13.525,41.260,-11.401
15:27:32.823	,-0.209,0.050,1.008,4.333,-0.549,-0.061,13.489,41.199,-11.401
15:27:32.831	,-0.207,0.051,1.007,2.380,-1.099,0.122,13.489,41.199,-11.401
15:27:32.853	,-0.203,0.049,1.006,2.197,-0.793,0.183,13.489,41.199,-11.401
15:27:32.853	,-0.204,0.049,1.005,2.258,-1.221,0.305,13.489,41.199,-11.401
15:27:32.863	,-0.204,0.049,1.006,2.258,-0.916,0.183,13.464,41.406,-12.866
15:27:32.874	,-0.203,0.050,1.005,2.319,-1.038,0.549,13.464,41.406,-12.866
15:27:32.890	,-0.208,0.052,1.004,2.136,-0.610,0.183,13.464,41.406,-12.866
15:27:32.894	,-0.206,0.054,1.004,1.892,-0.732,0.488,13.464,41.406,-12.866
15:27:32.905	,-0.204,0.052,1.005,2.563,-1.160,0.061,13.464,41.406,-12.866
15:27:32.915	,-0.203,0.050,1.005,1.953,-0.671,0.122,13.916,41.418,-12.341
15:27:32.924	,-0.204,0.049,1.003,2.319,-0.793,0.183,13.916,41.418,-12.341
15:27:32.934	,-0.203,0.051,1.005,2.136,-1.282,0.732,13.916,41.418,-12.341
15:27:32.942	,-0.203,0.050,1.005,1.953,-1.282,0.549,13.916,41.418,-12.341
15:27:32.955	,-0.204,0.052,1.004,2.319,-1.404,0.183,13.916,41.418,-12.341
15:27:32.962	,-0.204,0.051,1.005,1.648,-1.343,0.610,13.525,41.162,-12.512
15:27:32.973	,-0.203,0.051,1.004,1.953,-1.770,0.244,13.525,41.162,-12.512
15:27:32.982	,-0.204,0.050,1.004,2.136,-1.892,0.244,13.525,41.162,-12.512
15:27:32.994	,-0.204,0.050,1.005,1.648,-1.648,0.488,13.525,41.162,-12.512
15:27:33.001	,-0.205,0.049,1.005,1.587,-1.648,0.244,13.525,41.162,-12.512
15:27:33.014	,-0.205,0.051,1.003,2.014,-1.526,-0.061,13.464,41.406,-11.658
15:27:33.023	,-0.207,0.052,1.004,1.526,-1.648,0.671,13.464,41.406,-11.658
15:27:33.033	,-0.208,0.050,1.004,2.136,-1.892,0.244,13.464,41.406,-11.658
15:27:33.040	,-0.208,0.050,1.002,2.380,-2.014,-0.061,13.464,41.406,-11.658
15:27:33.055	,-0.209,0.050,1.002,2.319,-1.709,0.122,13.464,41.406,-11.658
15:27:33.063	,-0.209,0.052,1.005,2.197,-1.282,0.366,13.342,41.541,-12.500
15:27:33.070	,-0.207,0.052,1.003,1.892,-1.282,0.610,13.342,41.541,-12.500
15:27:33.086	,-0.205,0.052,1.005,1.831,-0.549,0.610,13.342,41.541,-12.500
15:27:33.091	,-0.203,0.049,1.005,2.625,-1.038,0.183,13.342,41.541,-12.500
15:27:33.100	,-0.203,0.050,1.005,2.136,-0.549,-0.122,13.342,41.541,-12.500
15:27:33.111	,-0.203,0.050,1.005,2.380,-1.953,0.732,13.721,41.357,-12.793
15:27:33.122	,-0.205,0.050,1.006,2.014,-0.916,0.122,13.721,41.357,-12.793
15:27:33.130	,-0.207,0.052,1.003,1.526,-1.160,0.488,13.721,41.357,-12.793
15:27:33.143	,-0.208,0.051,1.004,1.892,-1.465,0.305,13.721,41.357,-12.793
15:27:33.152	,-0.208,0.050,1.004,2.136,-0.977,0.183,13.721,41.357,-12.793
15:27:33.161	,-0.207,0.049,1.005,2.380,-1.282,0.183,14.197,41.162,-12.708
15:27:33.174	,-0.207,0.052,1.005,2.747,-1.465,0.183,14.197,41.162,-12.708
15:27:33.183	,-0.207,0.053,1.005,1.770,-0.793,0.122,14.197,41.162,-12.708
15:27:33.192	,-0.207,0.050,1.007,1.953,-0.549,0.183,14.197,41.162,-12.708
15:27:33.202	,-0.205,0.050,1.006,1.953,-0.488,0.305,14.197,41.162,-12.708
